线路,线路类型,现设计时速,电气化,建成年份,起点,终点,途径站点,,
广深铁路,普速铁路,160,是,1911,广州,深圳西,广州-深圳西,,
广茂铁路,普速铁路,120,否,1991,广州,湛江,广州-茂名西-湛江,,
武广客运专线,高速铁路,350,是,2009.12.26,武汉,广州南,武汉-咸宁北-长沙南-衡阳东-广州南,,
广珠城际,高速铁路,200,是,2012.12.31,广州南,珠海,广州南-珠海,,
南广铁路,快速铁路,250,是,2014.12.26,南宁,广州南,南宁-广州南,,
贵广客运专线,高速铁路,300,是,2014.12.26,贵阳东,广州南,贵阳东-桂林西-广州南,,
贵开城际,快速铁路,200,是,2015.5.1,贵阳北,开阳,贵阳北-开阳,,
沪昆高铁-沪杭段,高速铁路,350,是,2009.2.26,上海虹桥,杭州东,上海虹桥-嘉兴南-杭州东,,
沪昆高铁-杭长段,高速铁路,350,是,2010.6.18,杭州东,长沙南,杭州东-金华-衢州-上饶-鹰潭北-南昌西-长沙南,,
沪昆高铁-长昆段,高速铁路,350,是,2010.3.26,长沙南,昆明南,长沙南-湘潭北-怀化南-贵阳北-安顺西-昆明南,,
渝贵铁路,快速铁路,200,是,2018.1.25,重庆西,贵阳北,重庆西-贵阳北,,
川黔铁路,普速铁路,140,是,1965.10.1,重庆西,贵阳,重庆西-贵阳,,
沪昆线-沪杭段,普速铁路,200,是,1909,上海南,杭州南,上海南-杭州南,,
沪昆线-浙赣段,普速铁路,200,是,1902.11,杭州南,株洲,杭州南-金华-衢州-上饶-鹰潭-南昌-株洲,,
沪昆线-湘黔段,普速铁路,120,是,1974.11,株洲,贵阳,株洲-湘潭-怀化-贵阳,,
沪昆线-贵昆段,普速铁路,160,是,1970.12,贵阳,昆明,贵阳-安顺-六盘水-昆明,,
湘桂线-衡桂段,普速铁路,120,否,1938,衡阳,桂林北,衡阳-桂林北,,
湘桂线-桂柳段,普速铁路,120,是,1939,桂林北,柳州,桂林北-柳州,,
湘桂线-桂宁段,普速铁路,120,是,1951,柳州,南宁,柳州-南宁,,
湘桂线-宁隘段,普速铁路,120,否,1954,南宁,凭祥,南宁-凭祥,,
衡柳铁路,快速铁路,250,是,2013.12.28,衡阳东,柳州,衡阳东-桂林北-柳州,,
哈齐客运专线,高速铁路,250,是,2015.8.17,哈尔滨,齐齐哈尔,哈尔滨-大庆西-齐齐哈尔,,
滨洲线,普速铁路,160,是,1903.7,哈尔滨,满洲里,哈尔滨-大庆-齐齐哈尔-牙克石-海拉尔-满洲里,,
